ISO,Country,Subject Descriptor,Subject Notes,Units,Scale,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
ARG,Argentina,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-9.144,-3.952,8.621,7.972,2.966,4.929,6.499,6.046,5.424,7.251,-1.623,-5.341,-2.139,-13.125,-9.178,-17.623,-15.105,-31.12,-27.03,-3.995,3.702,9.782,5.818,3.822,3.33,2.652,2.041,2019
ARG,Argentina,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-2.878,-1.316,7.666,5.597,1.798,2.473,2.791,2.1,1.492,2.167,-0.382,-1.012,-0.369,-2.146,-1.628,-2.743,-2.713,-4.833,-5.226,-0.899,0.953,2.339,1.338,0.842,0.704,0.54,0.4,2019
ARM,Armenia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.302,-0.221,-0.148,-0.174,-0.079,-0.124,-0.153,-0.677,-1.659,-1.426,-1.261,-1.059,-1.058,-0.814,-0.902,-0.285,-0.108,-0.174,-0.86,-0.988,-0.563,-0.825,-0.851,-0.904,-0.938,-0.991,-1.04,2019
ARM,Armenia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-15.78,-10.44,-6.219,-6.181,-2.204,-2.529,-2.395,-7.357,-14.225,-16.484,-13.622,-10.44,-9.962,-7.316,-7.768,-2.698,-1.023,-1.508,-6.903,-7.223,-4.564,-6.731,-6.567,-6.437,-6.166,-5.994,-5.788,2019
ABW,Aruba,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,0.214,0.307,-0.339,-0.168,0.274,0.116,0.314,0.26,--,0.177,-0.46,-0.264,0.094,-0.326,-0.134,0.115,0.136,0.03,-0.014,0.085,-0.401,-0.353,-0.112,-0.061,-0.024,0.022,0.051,2019
ABW,Aruba,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,11.411,16.177,-17.296,-8.195,12.15,4.901,12.699,9.711,-0.016,6.935,-18.737,-10.021,3.599,-11.957,-4.795,3.882,4.557,0.959,-0.452,2.543,-16.302,-13.683,-3.807,-1.869,-0.655,0.582,1.321,2017
AUS,Australia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-16.369,-8.486,-16.187,-28.891,-41.51,-43.662,-45.857,-63.678,-50.009,-46.573,-45.727,-46.58,-67.413,-51.364,-44.738,-57.004,-41.464,-35.933,-29.926,9.241,33.891,38.221,16.348,5.669,-6.075,-14.934,-24.352,2020
AUS,Australia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-4.102,-2.253,-3.814,-5.355,-6.321,-5.948,-5.869,-6.718,-4.738,-4.662,-3.653,-3.077,-4.296,-3.383,-3.07,-4.616,-3.275,-2.594,-2.106,0.664,2.493,2.363,0.966,0.32,-0.329,-0.774,-1.207,2020
AUT,Austria,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-1.393,-1.573,4.504,4.06,6.255,7.143,11.08,14.8,19.397,10.42,11.207,7.038,6.074,8.359,10.952,6.591,10.78,5.732,5.726,12.653,10.04,11.623,12.724,13.071,12.898,12.794,13.339,2019
AUT,Austria,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-0.706,-0.796,2.102,1.548,2.076,2.258,3.295,3.802,4.49,2.596,2.855,1.631,1.483,1.943,2.474,1.725,2.724,1.374,1.258,2.842,2.342,2.412,2.471,2.431,2.301,2.198,2.208,2019
AZE,Azerbaijan,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.187,-0.052,-0.768,-2.021,-2.589,0.167,3.708,9.019,16.454,10.173,15.04,17.146,14.916,12.318,10.431,-0.222,-1.363,1.685,6.051,4.365,-0.364,0.542,0.262,0.286,0.227,0.214,0.172,2019
AZE,Azerbaijan,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-3.539,-0.945,-12.329,-27.772,-29.824,1.261,17.632,27.256,33.593,22.969,28.423,25.983,21.405,16.61,13.863,-0.438,-3.604,4.071,12.844,9.084,-0.855,1.086,0.514,0.546,0.418,0.379,0.292,2019
BHS,The Bahamas,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.122,-0.319,0.007,-0.015,0.145,-0.305,-1.031,-0.954,-0.872,-0.808,-0.796,-1.101,-1.532,-1.516,-2.193,-1.61,-1.059,-1.575,-1.115,0.526,-1.977,-2.635,-2.169,-1.749,-1.256,-1.133,-1.097,2019
BHS,The Bahamas,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-1.515,-3.835,0.084,-0.173,1.606,-3.098,-10.141,-8.987,-8.282,-8.095,-7.884,-10.935,-14.289,-14.347,-19.733,-13.751,-8.88,-12.608,-8.562,3.871,-17.577,-22.507,-16.752,-12.744,-8.677,-7.54,-7.06,2019
BHR,Bahrain,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,0.846,0.226,-0.056,0.197,0.474,1.476,2.189,2.908,2.257,0.56,0.771,2.524,2.578,2.41,1.523,-0.752,-1.493,-1.45,-2.435,-0.794,-3.255,-1.516,-1.651,-1.876,-2.051,-2.221,-2.363,2019
BHR,Bahrain,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,9.336,2.46,-0.579,1.775,3.608,9.245,11.828,13.381,8.778,2.442,3,8.77,8.384,7.406,4.562,-2.422,-4.631,-4.088,-6.466,-2.064,-9.601,-4.042,-4.241,-4.627,-4.846,-5.013,-5.091,2019
BGD,Bangladesh,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.337,-1.018,0.157,0.176,0.176,-0.557,0.572,0.957,0.278,2.086,3.24,-2.227,-0.447,2.388,1.406,3.492,4.262,-1.331,-9.567,-5.102,-4.849,1.268,-6.515,-7.358,-9.192,-9.634,-10.942,2019
BGD,Bangladesh,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-0.62,-1.868,0.282,0.293,0.268,-0.802,0.796,1.201,0.303,2.035,2.811,-1.731,-0.335,1.592,0.813,1.789,1.925,-0.533,-3.501,-1.687,-1.473,0.359,-1.665,-1.708,-1.952,-1.872,-1.947,2019
BRB,Barbados,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.112,-0.114,-0.162,-0.119,-0.361,-0.401,-0.442,-0.226,-0.461,-0.269,-0.209,-0.55,-0.391,-0.391,-0.433,-0.289,-0.206,-0.189,-0.201,-0.162,-0.323,-0.543,-0.429,-0.379,-0.318,-0.242,-0.199,2019
BRB,Barbados,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-3.654,-3.732,-5.207,-3.711,-10.493,-10.509,-10.474,-4.839,-9.627,-6.025,-4.603,-11.817,-8.479,-8.365,-9.218,-6.12,-4.26,-3.788,-3.96,-3.102,-7.395,-11.725,-8.437,-6.971,-5.577,-4.075,-3.224,2019
BLR,Belarus,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.459,-0.529,-0.326,-0.456,-1.192,0.459,-1.388,-3.013,-4.959,-6.133,-8.28,-5.053,-1.862,-7.567,-5.228,-1.831,-1.612,-0.952,0.023,-1.258,0.054,-0.179,-1.084,-1.189,-1.441,-1.501,-1.29,2019
BLR,Belarus,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-4.257,-4.139,-2.158,-2.476,-4.981,1.468,-3.631,-6.435,-7.896,-12.059,-14.471,-8.233,-2.836,-10.023,-6.64,-3.251,-3.379,-1.74,0.038,-1.953,0.089,-0.295,-1.732,-1.847,-2.151,-2.164,-1.793,2019
BEL,Belgium,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,9.393,7.896,11.622,10.806,11.434,7.701,7.554,7.044,-5.203,8,7.824,-10.15,-0.404,4.982,4.133,6.395,2.625,3.51,-4.325,1.862,-3.801,-5.343,-9.291,-8.959,-7.043,-4.917,-3.14,2019
BEL,Belgium,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,3.965,3.335,4.501,3.398,3.098,1.995,1.85,1.496,-1.006,1.657,1.624,-1.94,-0.081,0.955,0.772,1.383,0.552,0.698,-0.795,0.349,-0.741,-0.923,-1.51,-1.399,-1.062,-0.719,-0.446,2019
BLZ,Belize,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.162,-0.19,-0.165,-0.184,-0.155,-0.151,-0.025,-0.052,-0.145,-0.083,-0.046,-0.02,-0.033,-0.073,-0.136,-0.175,-0.163,-0.158,-0.151,-0.177,-0.133,-0.131,-0.136,-0.14,-0.146,-0.152,-0.158,2019
BLZ,Belize,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-19.643,-21.951,-17.895,-18.762,-14.755,-13.741,-2.1,-4.102,-10.735,-6.374,-3.325,-1.367,-2.177,-4.602,-8.15,-10.133,-9.217,-8.623,-8.011,-9.227,-8.036,-7.685,-7.355,-7.15,-7.168,-7.168,-7.168,2019
BEN,Benin,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.081,-0.075,-0.157,-0.332,-0.289,-0.226,-0.217,-0.535,-0.538,-0.651,-0.531,-0.517,-0.577,-0.673,-0.886,-0.679,-0.354,-0.531,-0.649,-0.581,-0.714,-0.784,-0.72,-0.823,-0.879,-0.946,-1.025,2019
BEN,Benin,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-2.295,-2.045,-3.742,-6.206,-4.669,-3.444,-3.088,-6.546,-5.499,-6.69,-5.567,-4.833,-5.178,-5.379,-6.67,-5.964,-2.997,-4.181,-4.553,-4.034,-4.696,-4.527,-3.779,-3.978,-3.906,-3.873,-3.866,2019
BTN,Bhutan,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.04,-0.039,-0.081,-0.138,-0.122,-0.235,-0.038,0.084,-0.111,-0.076,-0.319,-0.517,-0.388,-0.463,-0.484,-0.536,-0.613,-0.567,-0.46,-0.525,-0.305,-0.218,-0.326,-0.298,-0.16,-0.011,0.09,2020
BTN,Bhutan,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-9.385,-8.892,-16.794,-24.06,-18.727,-31.014,-4.616,8.351,-8.82,-6.418,-22.777,-30.485,-21.926,-25.634,-27.108,-27.899,-30.26,-23.964,-19.077,-21.111,-12.197,-8.789,-11.862,-10,-4.851,-0.297,2.341,2020
BOL,Bolivia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.446,-0.274,-0.35,0.084,0.325,0.622,1.317,1.591,1.993,0.814,0.874,0.537,1.97,1.054,0.57,-1.936,-1.907,-1.898,-1.823,-1.348,-0.967,-1.594,-1.934,-2.155,-2.32,-2.565,-2.89,2019
BOL,Bolivia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-5.325,-3.359,-4.42,1.042,3.694,6.502,11.436,12.04,11.867,4.658,4.416,2.226,7.221,3.413,1.716,-5.825,-5.579,-5.024,-4.493,-3.271,-2.455,-3.698,-4.156,-4.296,-4.309,-4.448,-4.682,2019
BIH,Bosnia and Herzegovina,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.396,-0.743,-1.191,-1.631,-1.639,-1.844,-0.998,-1.45,-2.643,-1.131,-1.031,-1.767,-1.486,-0.968,-1.364,-0.826,-0.804,-0.876,-0.676,-0.624,-0.674,-1.085,-0.998,-0.968,-0.948,-0.961,-0.977,2019
BIH,Bosnia and Herzegovina,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-7.125,-12.844,-17.742,-19.241,-16.141,-16.867,-8.01,-9.464,-14.126,-6.428,-6.005,-9.487,-8.636,-5.333,-7.365,-5.096,-4.756,-4.844,-3.352,-3.088,-3.475,-4.943,-4.297,-3.983,-3.72,-3.588,-3.479,2019
BWA,Botswana,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,0.545,0.678,0.286,0.683,0.351,1.634,1.957,1.652,-0.12,-0.648,-0.356,0.475,0.046,1.322,2.496,1.121,1.203,0.926,0.117,-1.393,-1.646,-0.837,-0.67,-0.146,0.058,0.078,0.073,2019
BWA,Botswana,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,9.395,12.299,5.246,9.066,3.913,16.318,19.234,15.097,-1.093,-6.31,-2.785,3.088,0.284,8.865,15.352,7.758,7.686,5.326,0.626,-7.598,-10.345,-4.468,-3.328,-0.674,0.253,0.321,0.282,2019
BRA,Brazil,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-24.794,-23.721,-8.097,3.76,11.347,13.547,13.03,0.408,-30.64,-26.261,-79.014,-76.288,-83.8,-79.792,-101.431,-54.472,-24.23,-15.015,-41.54,-50.697,-12.457,-8.907,-13.705,-20.41,-25.496,-31.151,-36.361,2020
BRA,Brazil,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-3.783,-4.236,-1.588,0.674,1.695,1.519,1.176,0.029,-1.807,-1.573,-3.577,-2.918,-3.401,-3.228,-4.13,-3.026,-1.349,-0.728,-2.167,-2.701,-0.869,-0.597,-0.837,-1.153,-1.326,-1.519,-1.674,2020
BRN,Brunei Darussalam,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,2.998,2.603,2.347,2.904,3.325,4.507,5.752,5.857,6.953,3.842,5.016,6.43,5.683,3.778,5.459,2.157,1.47,1.985,0.937,0.895,0.124,0.089,0.461,0.677,1.091,1.22,1.242,2019
BRN,Brunei Darussalam,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,45.149,41.993,36.303,40.015,38.171,42.734,45.491,43.601,43.657,32.247,36.595,34.709,29.838,20.881,31.927,16.682,12.9,16.367,6.907,6.643,1.028,0.584,3.113,4.579,7.255,7.942,7.894,2019
BGR,Bulgaria,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.412,-0.514,-0.103,-0.715,-1.119,-2.816,-5.253,-10.616,-12.026,-4.326,-0.874,0.19,-0.46,0.711,0.705,0.061,1.716,2.061,0.654,2.068,0.077,1.082,1.047,0.562,0.593,0.779,0.849,2020
BGR,Bulgaria,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-3.114,-3.625,-0.625,-3.381,-4.277,-9.428,-15.28,-23.907,-22.094,-8.315,-1.734,0.33,-0.851,1.279,1.239,0.12,3.19,3.488,0.986,3.017,0.112,1.391,1.24,0.624,0.622,0.774,0.8,2019
BFA,Burkina Faso,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.319,-0.291,-0.3,-0.368,-0.532,-0.635,-0.544,-0.561,-0.967,-0.381,-0.182,-0.16,-0.162,-1.346,-0.999,-0.895,-0.78,-0.709,-0.665,-0.524,-0.62,-0.85,-0.982,-1.144,-1.288,-1.427,-1.654,2018
BFA,Burkina Faso,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-10.766,-9.129,-8.281,-7.766,-9.758,-10.324,-8.308,-7.353,-10.232,-4.037,-1.797,-1.328,-1.292,-10.008,-7.165,-7.568,-6.085,-5.009,-4.104,-3.327,-3.746,-4.51,-4.774,-5.139,-5.348,-5.486,-5.888,2018
BDI,Burundi,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.061,-0.031,-0.104,-0.11,-0.06,-0.052,-0.271,-0.44,-0.158,-0.112,-0.249,-0.324,-0.434,-0.506,-0.423,-0.358,-0.327,-0.372,-0.346,-0.348,-0.402,-0.509,-0.499,-0.514,-0.539,-0.559,-0.585,2020
BDI,Burundi,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-7.019,-3.508,-12.542,-14.079,-6.505,-4.665,-21.287,-32.41,-9.821,-6.312,-12.238,-14.473,-18.592,-20.613,-15.624,-11.519,-11.059,-11.713,-11.403,-11.735,-13.342,-15.681,-14.466,-14.041,-13.889,-13.699,-13.61,2019
CPV,Cabo Verde,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.06,-0.06,-0.069,-0.091,-0.133,-0.034,-0.06,-0.196,-0.245,-0.248,-0.207,-0.304,-0.219,-0.09,-0.169,-0.051,-0.064,-0.139,-0.103,-0.008,-0.242,-0.212,-0.139,-0.111,-0.084,-0.077,-0.078,2019
CPV,Cabo Verde,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-9.938,-9.711,-10.182,-10.181,-12.951,-3.119,-4.837,-12.943,-13.714,-14.629,-12.427,-16.287,-12.593,-4.87,-9.082,-3.18,-3.828,-7.844,-5.223,-0.394,-13.804,-10.588,-6.385,-4.723,-3.308,-2.805,-2.631,2019
KHM,Cambodia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.096,-0.039,-0.097,-0.166,-0.116,-0.24,-0.047,-0.144,-0.685,-1.03,-0.983,-1.029,-1.212,-1.289,-1.429,-1.58,-1.699,-1.756,-2.993,-4.232,-3.245,-4.897,-4.257,-2.665,-2.547,-2.334,-2.472,2019
KHM,Cambodia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-2.627,-0.97,-2.266,-3.56,-2.17,-3.824,-0.646,-1.664,-6.62,-9.915,-8.751,-8.031,-8.623,-8.462,-8.556,-8.739,-8.479,-7.915,-12.245,-15.832,-12.505,-17.976,-14.618,-8.511,-7.533,-6.388,-6.254,2019
